,authors,hotels,cr1,cr2,cr3,cr4,cr5,cr6,cr7,cr8
0,bigbaldjohnny,98641,3,2,2,3,2,3,1,1
1,Suppiluliomas,98641,4,4,3,4,3,3,4,4
2,AustLesConner,98641,4,4,5,4,4,3,4,4
3,Becca_C,98641,4,4,4,4,5,4,5,1
4,rossbo1,98641,4,4,4,3,5,5,5,4
5,DaSaint,98641,5,5,5,5,5,4,4,5
6,Gurnip,98641,5,5,5,4,5,5,5,5
7,A TripAdvisor Member,98641,5,5,5,-1,5,-1,5,-1
8,A TripAdvisor Member,98641,3,1,3,-1,3,-1,4,-1
9,Shellybells82,98641,2,2,2,-1,3,-1,1,-1
10,fedexflyer,98641,3,3,3,-1,4,-1,4,-1
11,HongKongMember,98641,3,-1,-1,-1,-1,-1,-1,-1
12,A TripAdvisor Member,98641,2,-1,-1,-1,-1,-1,-1,-1
13,A TripAdvisor Member,98641,1,-1,-1,-1,-1,-1,-1,-1
14,A TripAdvisor Member,98641,3,-1,-1,-1,-1,-1,-1,-1
15,lass=,98641,5,-1,-1,-1,-1,-1,-1,-1
16,lass=,98641,3,-1,-1,-1,-1,-1,-1,-1
17,missfener,232325,3,3,3,5,3,3,3,3
18,robmm22,232325,5,4,3,5,4,4,3,2
19,princesspentium,232325,3,-1,-1,-1,-1,-1,-1,-1
20,ClarePete97,232325,4,3,3,4,4,4,4,-1
21,Andrew-Beaumont,232325,4,4,4,-1,4,-1,4,-1
22,A TripAdvisor Member,232325,4,3,4,-1,4,-1,3,-1
23,A TripAdvisor Member,232325,4,4,2,-1,4,-1,5,-1
24,A TripAdvisor Member,232325,1,-1,-1,-1,-1,-1,-1,-1
25,michiganmarlon,232325,4,5,4,-1,4,-1,4,-1
26,A TripAdvisor Member,232325,2,2,1,-1,3,-1,1,-1
27,wawawa,232325,3,4,3,-1,3,-1,3,-1
28,A TripAdvisor Member,232325,4,3,3,-1,4,-1,3,-1
29,A TripAdvisor Member,232325,4,4,3,-1,4,-1,3,-1
30,A TripAdvisor Member,232325,2,3,2,-1,3,-1,3,-1
31,A TripAdvisor Member,232325,4,4,4,-1,4,-1,3,-1
32,fredandkell,232325,5,5,4,-1,5,-1,5,-1
33,nporiord,232325,3,-1,-1,-1,-1,-1,-1,-1
34,A TripAdvisor Member,232325,5,-1,-1,-1,-1,-1,-1,-1
35,A TripAdvisor Member,232325,4,-1,-1,-1,-1,-1,-1,-1
36,A TripAdvisor Member,232325,5,4,4,-1,5,-1,4,-1
37,A TripAdvisor Member,232325,4,4,4,-1,5,-1,4,-1
38,A TripAdvisor Member,232325,3,-1,-1,-1,-1,-1,-1,-1
39,smkr75,232325,4,-1,-1,-1,-1,-1,-1,-1
40,A TripAdvisor Member,232325,3,3,3,-1,4,-1,4,-1
41,scottishtraveler,232325,5,-1,-1,-1,-1,-1,-1,-1
42,Baltimoron,232325,4,-1,-1,-1,-1,-1,-1,-1
43,A TripAdvisor Member,232325,4,5,4,-1,4,-1,3,-1
44,ps12,232325,4,-1,-1,-1,-1,-1,-1,-1
45,lass=,232325,4,-1,4,-1,-1,-1,4,-1
46,lass=,232325,3,-1,3,-1,4,-1,3,-1
47,lass=,232325,2,3,2,-1,1,-1,2,-1
48,lass=,232325,4,-1,4,-1,4,-1,4,-1
49,lass=,232325,4,-1,4,-1,-1,-1,3,-1
50,lass=,232325,4,-1,1,-1,-1,-1,3,-1
51,lass=,232325,0,-1,-1,-1,-1,-1,-1,-1
52,lass=,232325,4,5,5,-1,4,-1,4,-1
53,lass=,232325,1,-1,1,-1,1,-1,1,-1
54,lass=,232325,3,-1,1,-1,4,-1,4,-1
55,lass=,232325,3,-1,3,-1,-1,-1,3,-1
56,lass=,232325,3,3,3,-1,3,-1,3,-1
57,lass=,232325,4,-1,3,-1,3,-1,4,-1
58,Londonian,232325,4,4,4,4,4,4,4,-1
59,lass=,232325,3,-1,2,-1,3,-1,3,-1
60,lass=,232325,5,-1,5,-1,-1,-1,5,-1
61,lass=,232325,3,2,2,-1,3,-1,2,-1
62,Katstill,301648,5,4,5,4,5,5,5,4
63,FruitaTraveler,301648,5,4,4,5,4,4,4,-1
64,ShropshireHelly,301648,5,5,5,5,5,5,5,5
65,hi3655,301648,5,5,5,4,4,5,5,4
66,pmetka,301648,5,5,5,5,5,5,5,5
67,Seggiesmoggie,301648,2,2,1,2,1,3,1,1
68,jcjchung,301648,4,4,2,5,3,5,4,-1
69,sedm,301648,5,5,4,5,5,5,5,3
70,darlingisland2009,301648,5,5,4,4,4,5,5,2
71,kingfisher,301648,5,4,5,5,5,5,5,-1
72,Manon34,301648,5,5,5,5,5,5,5,3
73,mdkate1657,301648,5,5,5,5,5,5,5,-1
74,TravelBeard,301648,2,2,4,4,4,3,4,3
75,MichFran,301648,5,4,4,4,5,5,5,4
76,dleepenn,301648,5,4,5,-1,5,-1,5,-1
77,A TripAdvisor Member,301648,5,3,5,-1,5,-1,4,-1
78,A TripAdvisor Member,301648,4,4,5,-1,4,-1,4,-1
79,florent,301648,5,5,4,-1,5,-1,5,-1
80,Bintang,301648,5,-1,-1,-1,-1,-1,-1,-1
81,A TripAdvisor Member,301648,5,5,5,-1,5,-1,5,-1
82,A TripAdvisor Member,301648,5,4,5,-1,5,-1,5,-1
83,A TripAdvisor Member,301648,3,-1,-1,-1,-1,-1,-1,-1
84,sylvieandco,301648,4,3,2,4,5,5,5,-1
85,ClaraJun,301648,4,5,4,5,4,5,5,3
86,hashashas,301648,4,4,4,2,4,4,3,4
